pickup_hour,trips,median_duration,p90_duration
0,131570,14.016666666666667,29.0
1,82971,13.333333333333334,26.2
2,55563,13.0,25.033333333333335
3,38566,12.916666666666666,25.066666666666666
4,30791,13.4,26.766666666666666
5,33091,12.716666666666667,29.25
6,59504,11.933333333333334,30.211666666666737
7,105356,12.6,30.65
8,145332,13.783333333333333,31.7
9,150449,14.1,32.233333333333334
10,153408,14.583333333333334,33.9
11,167671,15.133333333333333,35.45
12,181990,15.033333333333333,35.6
13,190877,15.233333333333333,37.233333333333334
14,214497,15.483333333333333,40.88333333333333
15,218994,15.516666666666667,41.78333333333333
16,203711,15.2,42.31666666666667
17,222757,14.866666666666667,37.61666666666667
18,231529,13.833333333333334,32.78333333333333
19,212849,13.5,31.4
20,209293,13.7,29.416666666666668
21,218972,14.15,29.216666666666665
22,209666,14.333333333333334,29.433333333333334
23,178136,14.45,30.233333333333334
