PULocationID,PU_Borough,PU_Zone,trips,median_duration,p90_duration,delay_index
70,Queens,East Elmhurst,8196,32.13333333333333,56.108333333333334,2.3627450980392157
61,Brooklyn,Crown Heights North,4076,24.491666666666667,43.325,1.800857843137255
181,Brooklyn,Park Slope,3459,24.033333333333335,41.87666666666668,1.7671568627450982
37,Brooklyn,Bushwick South,5320,23.858333333333334,39.1,1.7542892156862746
36,Brooklyn,Bushwick North,3130,23.35,36.65,1.7169117647058825
66,Brooklyn,DUMBO/Vinegar Hill,5003,21.516666666666666,35.54666666666667,1.5821078431372548
33,Brooklyn,Brooklyn Heights,4818,21.425,35.88333333333333,1.5753676470588236
255,Brooklyn,Williamsburg (North Side),9521,21.083333333333332,33.81666666666667,1.5502450980392157
25,Brooklyn,Boerum Hill,3592,21.025,36.271666666666675,1.5459558823529411
80,Brooklyn,East Williamsburg,5132,20.875,33.54833333333334,1.5349264705882353
112,Brooklyn,Greenpoint,6120,20.866666666666667,33.40166666666667,1.5343137254901962
7,Queens,Astoria,7260,20.75,36.16833333333334,1.5257352941176472
256,Brooklyn,Williamsburg (South Side),6329,20.716666666666665,35.2,1.5232843137254901
97,Brooklyn,Fort Greene,4470,20.6,36.733333333333334,1.5147058823529413
243,Manhattan,Washington Heights North,3964,20.241666666666667,36.46666666666667,1.488357843137255
145,Queens,Long Island City/Hunters Point,6959,19.516666666666666,34.516666666666666,1.4350490196078431
226,Queens,Sunnyside,5694,19.5,39.68333333333333,1.4338235294117647
65,Brooklyn,Downtown Brooklyn/MetroTech,4214,19.216666666666665,36.26333333333335,1.4129901960784312
244,Manhattan,Washington Heights South,9000,18.85,33.75166666666667,1.386029411764706
116,Manhattan,Hamilton Heights,8663,18.5,33.11333333333334,1.3602941176470589
261,Manhattan,World Trade Center,16074,18.383333333333333,36.11666666666667,1.3517156862745099
146,Queens,Long Island City/Queens Plaza,3380,18.2,35.32333333333333,1.338235294117647
88,Manhattan,Financial District South,14217,18.0,33.81666666666667,1.3235294117647058
13,Manhattan,Battery Park City,24107,17.433333333333334,33.2,1.2818627450980393
42,Manhattan,Central Harlem North,11986,17.283333333333335,32.333333333333336,1.2708333333333335
87,Manhattan,Financial District North,28963,17.15,31.4,1.2610294117647058
264,Unknown,Unknown,3654,16.683333333333334,48.61166666666667,1.2267156862745099
45,Manhattan,Chinatown,9083,16.616666666666667,33.18,1.2218137254901962
152,Manhattan,Manhattanville,5210,16.616666666666667,32.0,1.2218137254901962
232,Manhattan,Two Bridges/Seward Park,11631,16.466666666666665,29.916666666666668,1.2107843137254901
209,Manhattan,Seaport,9105,16.316666666666666,30.633333333333333,1.1997549019607843
186,Manhattan,Penn Station/Madison Sq West,103518,15.85,32.016666666666666,1.1654411764705883
68,Manhattan,East Chelsea,95394,15.733333333333333,32.0,1.156862745098039
74,Manhattan,East Harlem North,15190,15.583333333333334,31.4,1.1458333333333335
231,Manhattan,TriBeCa/Civic Center,52618,15.55,32.155000000000044,1.1433823529411766
129,Queens,Jackson Heights,3385,15.533333333333333,34.71666666666667,1.142156862745098
246,Manhattan,West Chelsea/Hudson Yards,72008,15.266666666666667,28.405000000000047,1.1225490196078431
41,Manhattan,Central Harlem,17920,14.975,31.8,1.1011029411764706
166,Manhattan,Morningside Heights,20384,14.933333333333334,31.5,1.0980392156862746
230,Manhattan,Times Sq/Theatre District,105999,14.883333333333333,32.78333333333333,1.094362745098039
148,Manhattan,Lower East Side,50260,14.816666666666666,28.3,1.0894607843137254
4,Manhattan,Alphabet City,14869,14.783333333333333,27.253333333333345,1.0870098039215685
211,Manhattan,SoHo,30507,14.733333333333333,31.733333333333334,1.0833333333333333
144,Manhattan,Little Italy/NoLiTa,40429,14.716666666666667,30.783333333333335,1.0821078431372548
158,Manhattan,Meatpacking/West Village West,38614,14.616666666666667,29.1,1.0747549019607843
100,Manhattan,Garment District,47335,14.316666666666666,29.75,1.0526960784313726
161,Manhattan,Midtown Center,154911,14.3,28.666666666666668,1.0514705882352942
224,Manhattan,Stuy Town/Peter Cooper Village,9612,14.25,26.416666666666668,1.0477941176470589
164,Manhattan,Midtown South,72675,14.05,28.45,1.0330882352941178
24,Manhattan,Bloomingdale,11739,13.866666666666667,29.433333333333334,1.019607843137255
50,Manhattan,Clinton West,28895,13.85,27.616666666666667,1.0183823529411764
233,Manhattan,UN/Turtle Bay South,42007,13.766666666666667,27.25,1.0122549019607845
162,Manhattan,Midtown East,114954,13.716666666666667,27.916666666666668,1.008578431372549
170,Manhattan,Murray Hill,98999,13.683333333333334,27.05,1.0061274509803921
125,Manhattan,Hudson Sq,18075,13.366666666666667,30.520000000000014,0.982843137254902
75,Manhattan,East Harlem South,28618,13.283333333333333,29.633333333333333,0.9767156862745098
79,Manhattan,East Village,95358,13.266666666666667,26.6,0.9754901960784315
163,Manhattan,Midtown North,93809,13.216666666666667,29.466666666666665,0.9718137254901961
137,Manhattan,Kips Bay,42870,13.166666666666666,26.85,0.9681372549019608
234,Manhattan,Union Sq,93498,13.116666666666667,28.133333333333333,0.9644607843137255
229,Manhattan,Sutton Place/Turtle Bay North,60706,13.116666666666667,27.2,0.9644607843137255
48,Manhattan,Clinton East,87853,13.05,28.116666666666667,0.9595588235294118
140,Manhattan,Lenox Hill East,72313,13.033333333333333,27.516666666666666,0.9583333333333334
114,Manhattan,Greenwich Village South,51096,12.983333333333333,28.133333333333333,0.954656862745098
249,Manhattan,West Village,80859,12.9,27.65,0.948529411764706
107,Manhattan,Gramercy,69279,12.8,26.966666666666665,0.9411764705882354
43,Manhattan,Central Park,49683,12.483333333333333,29.266666666666666,0.9178921568627451
113,Manhattan,Greenwich Village North,49469,12.466666666666667,28.783333333333335,0.9166666666666667
90,Manhattan,Flatiron,57058,12.45,28.205000000000048,0.9154411764705882
151,Manhattan,Manhattan Valley,29982,12.116666666666667,27.28166666666669,0.8909313725490197
262,Manhattan,Yorkville East,54195,12.066666666666666,25.85,0.8872549019607843
143,Manhattan,Lincoln Square West,43619,12.05,25.766666666666666,0.886029411764706
142,Manhattan,Lincoln Square East,107127,11.416666666666666,25.9,0.8394607843137255
263,Manhattan,Yorkville West,70227,11.066666666666666,26.0,0.8137254901960784
239,Manhattan,Upper West Side South,96743,11.033333333333333,26.35,0.8112745098039216
141,Manhattan,Lenox Hill West,84385,10.916666666666666,25.75,0.8026960784313725
